,Unnamed: 0,ID,price,local,areas,bedrooms,parking-spaces,bathrooms,cep
0,0,2617681220,230000.0,"Avenida Rio Grande do Norte, Estados",50.0,2.0,1.0,,58030-330
1,1,2611772162,219900.0,"Rua Manoel Paulino Júnior, Tambauzinho",35.5,1.5,,,58042-010
2,2,2628081086,893000.0,"Avenida Senador Ruy Carneiro, Miramar",109.0,3.0,,,58032-100
3,3,2622593672,360000.0,"Rua Joakim Schuller, Jardim Oceania",39.0,1.0,1.0,,58037-700
4,4,2577478905,480000.0,"Rua Eutiquiano Barreto, Manaíra",115.0,3.0,,,58038-381
5,5,2634264051,270000.0,"Mangabeira, João Pessoa",125.0,2.0,,,
6,6,2638794461,280000.0,"Rua Rodrigues de Aquino, Jaguaribe",150.0,4.0,,,58011-000
7,7,2638782080,269000.0,"Rua Sibipiruna, Paratibe",105.0,3.0,,,58062-305
8,8,2638362668,240800.0,"Avenida Amazonas, Estados",57.0,2.0,1.0,,69305-420
9,9,2611739844,570000.0,"Rua Napoleão Gomes Varela, Bessa",76.0,3.0,2.0,,58035-170
10,10,2638739620,359900.0,"Rua Silvino Chaves, Manaíra",49.0,2.0,1.0,,58038-381
11,11,2638539579,90000.0,"Rua Alberto Teixeira, Ernani Sátiro",48.0,2.0,1.0,,
12,12,2632399784,122390.0,"Rua Manoel Felisberto da Silva, Gramame",49.0,2.0,1.0,,58075-690
13,13,2638533779,260000.0,"Rua Comerciante João Ribeiro de Lima, Mangabeira",100.0,3.0,,,
14,14,2562768625,807205.0,"Rua Orlando Di Cavalcanti Villar, Altiplano Cabo Branco",95.0,3.0,2.0,,
15,15,2638794531,260000.0,"Valentina de Figueiredo, João Pessoa",68.0,2.0,2.0,,58063-300
16,16,2634728632,650000.0,"Avenida Ingá, Manaíra",98.0,3.0,2.0,,58038-381
17,17,2571176737,253000.0,"Bessa, João Pessoa",58.0,2.0,1.0,,
18,18,2638309596,650000.0,"Rua Iracema Guedes Lins, Altiplano Cabo Branco",92.0,3.0,2.0,,58046-095
19,19,2631723998,280000.0,"Rua Aluísio Bezerra da Silva, Portal do Sol",62.0,2.0,1.0,,
20,20,2615983507,259900.0,"Avenida Capitão João Freire, Tambauzinho",60.0,3.0,1.0,,
21,21,2638180380,130000.0,"Gramame, João Pessoa",45.0,2.0,1.0,,
22,22,2638278275,270000.0,"Rua João Nobre, Torre",77.0,2.0,1.0,,58040-530
23,23,2634205599,700000.0,"Rua Inácio Ferreira Serrano, Brisamar",87.0,3.0,2.0,,58032-100
24,24,2638335531,245000.0,"Jardim Universitário, Castelo Branco",77.0,3.0,2.0,,86055-645
25,25,2628954638,134949.0,"Rua José Rodrigues Matos, Planalto Boa Esperança",52.0,2.0,1.0,,58065-081
26,26,2631717791,320000.0,"Rua Lionidio Francisco de Oliveira, Estados",110.0,3.0,,,58030-330
27,27,2638517488,152900.0,"Rua Paulo Braga dos Santos, Valentina de Figueiredo",48.0,2.0,1.0,,58063-000
28,28,2631178964,31000.0,"Rua Doutor Valdevino Gregório de Andrade, Gramame",65.0,3.0,1.0,,58064-550
29,29,2599195541,639000.0,"Avenida Campos Sales, Bessa",92.0,3.0,2.0,,58035-070
30,30,2608514759,230000.0,"Rua José Marinho de Souza, Portal do Sol",74.0,3.0,1.0,,58052-287
31,31,2638167407,380000.0,"Praça Tenente Antonio Fernandes do Amaral, Aeroclube",60.0,2.0,1.0,,
32,32,2638575420,390000.0,"Avenida Presidente Afonso Pena, Bessa",90.0,3.0,1.0,,58035-200
33,33,2637873978,240800.0,"Avenida Alagoas, Estados",57.0,2.0,1.0,,58030-330
34,34,2638551985,678000.0,"Avenida Ingá, Manaíra",98.0,3.0,2.0,,58038-381
35,35,2638525257,195000.0,"Rua João Câmara, Treze de Maio",54.0,2.0,1.0,,58025-060
36,36,2638547787,199000.0,"Rua Arnaud dos Anjos Brandão, Portal do Sol",56.0,2.0,1.0,,58052-287
37,37,2608560739,350000.0,"Rua Abdias Gomes de Almeida, Tambauzinho",60.0,2.0,1.0,,
38,38,2632265655,114740.0,"Rua Julieta Cordeiro de Medeiros, Paratibe",44.0,2.0,1.0,,
39,39,2638733668,350000.0,"Bancários, João Pessoa",178.0,3.0,,,
40,40,2628957782,145430.0,"Rua Enedino Rodrigues de Carvalho, Industrias",59.0,2.0,1.0,,58081-300
41,41,2638747555,230000.0,"Avenida Marechal Hermes da Fonseca, Bessa",60.0,2.0,1.0,,58036-002
42,42,2638101880,1100000.0,"Brisamar, João Pessoa",165.0,4.0,,,58032-100
43,43,2617473436,140000.0,"Rua Flodoaldo Peixoto Filho, Valentina de Figueiredo",50.0,2.0,1.0,,58063-000
44,44,2613013920,280000.0,"Rua Bourgueville, Anatólia",150.0,3.0,,,58053-045
45,45,2605323811,135000.0,"Rua Inspetora Emília Mendonça Gomes, Valentina de Figueiredo",50.0,2.0,1.0,,58064-550
46,46,2638361283,145000.0,"Alameda Concris, Gramame",54.0,2.0,1.0,,58063-300
47,47,2613013102,110000.0,"Rua Antônio Limeira de Farias, Cidade dos Colibris",50.0,2.0,1.0,,58051-110
48,48,2631390578,280000.0,"Rua Goiás, Estados",60.0,2.0,1.0,,69305-410
49,49,2632079983,148860.0,"Rua Ivanise Lopes Lordão, José Américo de Almeida",54.0,2.0,1.0,,
