,ID,price,local,areas,bedrooms,parking-spaces,bathrooms,cep
0,2617681220,230000.0,"Avenida Rio Grande do Norte, Estados",50.0,2.0,1.0,,58030-330
1,2611772162,219900.0,"Rua Manoel Paulino Júnior, Tambauzinho",35.5,1.5,,,58042-010
2,2628081086,893000.0,"Avenida Senador Ruy Carneiro, Miramar",109.0,3.0,,,58032-100
3,2622593672,360000.0,"Rua Joakim Schuller, Jardim Oceania",39.0,1.0,1.0,,58037-700
4,2577478905,480000.0,"Rua Eutiquiano Barreto, Manaíra",115.0,3.0,,,58038-381
5,2634264051,270000.0,"Mangabeira, João Pessoa",125.0,2.0,,,
6,2638794461,280000.0,"Rua Rodrigues de Aquino, Jaguaribe",150.0,4.0,,,58011-000
7,2638782080,269000.0,"Rua Sibipiruna, Paratibe",105.0,3.0,,,58062-305
8,2638362668,240800.0,"Avenida Amazonas, Estados",57.0,2.0,1.0,,69305-420
9,2611739844,570000.0,"Rua Napoleão Gomes Varela, Bessa",76.0,3.0,2.0,,58035-170
10,2638739620,359900.0,"Rua Silvino Chaves, Manaíra",49.0,2.0,1.0,,58038-381
11,2638539579,90000.0,"Rua Alberto Teixeira, Ernani Sátiro",48.0,2.0,1.0,,
12,2632399784,122390.0,"Rua Manoel Felisberto da Silva, Gramame",49.0,2.0,1.0,,58075-690
13,2638533779,260000.0,"Rua Comerciante João Ribeiro de Lima, Mangabeira",100.0,3.0,,,
14,2562768625,807205.0,"Rua Orlando Di Cavalcanti Villar, Altiplano Cabo Branco",95.0,3.0,2.0,,
15,2638794531,260000.0,"Valentina de Figueiredo, João Pessoa",68.0,2.0,2.0,,58063-300
16,2634728632,650000.0,"Avenida Ingá, Manaíra",98.0,3.0,2.0,,58038-381
17,2571176737,253000.0,"Bessa, João Pessoa",58.0,2.0,1.0,,
18,2638309596,650000.0,"Rua Iracema Guedes Lins, Altiplano Cabo Branco",92.0,3.0,2.0,,58046-095
19,2631723998,280000.0,"Rua Aluísio Bezerra da Silva, Portal do Sol",62.0,2.0,1.0,,
20,2615983507,259900.0,"Avenida Capitão João Freire, Tambauzinho",60.0,3.0,1.0,,
21,2638180380,130000.0,"Gramame, João Pessoa",45.0,2.0,1.0,,
